,predict,predict_label
0,0.09,0
1,0.092,0
2,0.072,0
3,0.104,0
4,0.09,0
5,0.076,0
6,0.098,0
7,0.066,0
8,0.094,0
9,0.068,0
10,0.066,0
11,0.06,0
12,0.056,0
13,0.068,0
14,0.066,0
15,0.082,0
16,0.078,0
17,0.068,0
18,0.058,0
19,0.196,0
20,0.096,0
21,0.07,0
22,0.112,0
23,0.07,0
24,0.066,0
25,0.078,0
26,0.072,0
27,0.056,0
28,0.066,0
29,0.056,0
30,0.078,0
31,0.092,0
32,0.078,0
33,0.108,0
34,0.074,0
35,0.082,0
36,0.056,0
37,0.08,0
38,0.082,0
39,0.066,0
40,0.064,0
41,0.05,0
42,0.078,0
43,0.046,0
44,0.052,0
45,0.048,0
46,0.054,0
47,0.07,0
48,0.074,0
49,0.054,0
50,0.074,0
51,0.042,0
52,0.062,0
53,0.044,0
54,0.07,0
55,0.034,0
56,0.056,0
57,0.052,0
58,0.052,0
59,0.036,0
60,0.04,0
61,0.052,0
62,0.074,0
63,0.044,0
64,0.064,0
65,0.082,0
66,0.076,0
67,0.068,0
68,0.084,0
69,0.044,0
70,0.046,0
71,0.06,0
72,0.058,0
73,0.048,0
74,0.06,0
75,0.17,0
76,0.054,0
77,0.066,0
78,0.124,0
79,0.05,0
80,0.062,0
81,0.066,0
82,0.074,0
83,0.044,0
84,0.058,0
85,0.062,0
86,0.07,0
87,0.06,0
88,0.056,0
89,0.042,0
90,0.076,0
91,0.062,0
92,0.07,0
93,0.058,0
94,0.062,0
95,0.054,0
96,0.04,0
97,0.062,0
98,0.078,0
99,0.068,0
100,0.096,0
101,0.056,0
102,0.078,0
103,0.054,0
104,0.09,0
105,0.106,0
106,0.062,0
107,0.264,0
108,0.084,0
109,0.078,0
110,0.116,0
111,0.066,0
112,0.078,0
113,0.118,0
114,0.05,0
115,0.062,0
116,0.068,0
117,0.054,0
118,0.074,0
119,0.072,0
120,0.098,0
121,0.114,0
122,0.102,0
123,0.094,0
124,0.144,0
125,0.106,0
126,0.068,0
127,0.056,0
128,0.088,0
129,0.05,0
130,0.062,0
131,0.256,0
132,0.102,0
133,0.062,0
134,0.148,0
135,0.068,0
136,0.05,0
137,0.074,0
138,0.054,0
139,0.036,0
140,0.06,0
141,0.074,0
142,0.07,0
143,0.038,0
144,0.054,0
145,0.058,0
146,0.056,0
147,0.058,0
148,0.064,0
149,0.076,0
150,0.058,0
151,0.074,0
152,0.06,0
153,0.074,0
154,0.236,0
155,0.07,0
156,0.086,0
157,0.164,0
158,0.062,0
159,0.044,0
160,0.07,0
161,0.048,0
162,0.062,0
163,0.336,0
164,0.134,0
165,0.094,0
166,0.168,0
167,0.064,0
168,0.078,0
169,0.082,0
170,0.066,0
171,0.068,0
172,0.092,0
173,0.092,0
174,0.09,0
175,0.082,0
176,0.058,0
177,0.072,0
178,0.082,0
179,0.068,0
180,0.072,0
181,0.052,0
182,0.098,0
183,0.124,0
184,0.04,0
185,0.054,0
186,0.082,0
187,0.062,0
188,0.048,0
189,0.068,0
190,0.24,0
191,0.094,0
192,0.072,0
193,0.124,0
194,0.058,0
195,0.074,0
196,0.1,0
197,0.114,0
198,0.064,0
199,0.066,0
200,0.052,0
201,0.064,0
202,0.044,0
203,0.066,0
204,0.062,0
205,0.048,0
206,0.072,0
207,0.034,0
208,0.074,0
209,0.052,0
210,0.054,0
211,0.068,0
212,0.078,0
213,0.052,0
214,0.042,0
215,0.084,0
216,0.094,0
217,0.086,0
218,0.114,0
219,0.086,0
220,0.08,0
221,0.092,0
222,0.092,0
223,0.062,0
224,0.048,0
225,0.06,0
226,0.068,0
227,0.078,0
228,0.084,0
229,0.072,0
230,0.092,0
231,0.074,0
232,0.058,0
233,0.084,0
234,0.068,0
235,0.086,0
236,0.21,0
237,0.078,0
238,0.08,0
239,0.14,0
240,0.072,0
241,0.052,0
242,0.07,0
243,0.036,0
244,0.05,0
245,0.212,0
246,0.052,0
247,0.06,0
248,0.12,0
249,0.052,0
250,0.064,0
251,0.06,0
252,0.06,0
253,0.062,0
254,0.066,0
255,0.06,0
256,0.048,0
257,0.082,0
258,0.074,0
259,0.088,0
260,0.064,0
261,0.05,0
262,0.072,0
263,0.242,0
264,0.088,0
265,0.068,0
266,0.184,0
267,0.054,0
268,0.09,0
269,0.076,0
270,0.07,0
271,0.08,0
272,0.258,0
273,0.134,0
274,0.3,0
275,0.152,0
276,0.104,0
277,0.148,0
278,0.074,0
279,0.054,0
280,0.058,0
281,0.058,0
282,0.068,0
283,0.042,0
284,0.034,0
285,0.044,0
286,0.078,0
287,0.062,0
288,0.058,0
289,0.058,0
290,0.048,0
291,0.044,0
292,0.054,0
293,0.052,0
294,0.062,0
295,0.082,0
296,0.11,0
297,0.074,0
298,0.094,0
299,0.048,0
300,0.068,0
301,0.068,0
302,0.05,0
303,0.078,0
304,0.072,0
305,0.07,0
306,0.06,0
307,0.056,0
308,0.076,0
309,0.06,0
310,0.066,0
311,0.078,0
312,0.078,0
313,0.072,0
314,0.082,0
315,0.058,0
316,0.078,0
317,0.052,0
318,0.048,0
319,0.042,0
320,0.174,0
321,0.066,0
322,0.074,0
323,0.108,0
324,0.058,0
325,0.054,0
326,0.054,0
327,0.03,0
328,0.042,0
329,0.048,0
330,0.048,0
331,0.046,0
332,0.054,0
333,0.05,0
334,0.062,0
335,0.062,0
336,0.032,0
337,0.046,0
338,0.072,0
339,0.064,0
340,0.066,0
341,0.078,0
342,0.098,0
343,0.05,0
344,0.048,0
345,0.064,0
346,0.058,0
347,0.048,0
348,0.046,0
349,0.06,0
350,0.032,0
351,0.036,0
352,0.032,0
353,0.052,0
354,0.032,0
355,0.05,0
356,0.06,0
357,0.034,0
358,0.056,0
359,0.018,0
360,0.056,0
361,0.058,0
362,0.058,0
363,0.044,0
364,0.044,0
365,0.04,0
366,0.058,0
367,0.048,0
368,0.056,0
369,0.042,0
370,0.056,0
371,0.212,0
372,0.068,0
373,0.074,0
374,0.314,0
375,0.114,0
376,0.096,0
377,0.136,0
378,0.08,0
379,0.076,0
380,0.07,0
381,0.048,0
382,0.042,0
383,0.226,0
384,0.06,0
385,0.042,0
386,0.12,0
387,0.038,0
388,0.04,0
389,0.048,0
390,0.054,0
391,0.032,0
392,0.03,0
393,0.042,0
394,0.046,0
395,0.034,0
396,0.074,0
397,0.046,0
398,0.048,0
399,0.048,0
400,0.032,0
401,0.044,0
402,0.026,0
403,0.046,0
404,0.078,0
405,0.058,0
406,0.05,0
407,0.046,0
408,0.024,0
409,0.032,0
410,0.204,0
411,0.074,0
412,0.074,0
413,0.132,0
414,0.082,0
415,0.212,0
416,0.07,0
417,0.044,0
418,0.138,0
419,0.062,0
420,0.032,0
421,0.062,0
422,0.06,0
423,0.062,0
424,0.058,0
425,0.09,0
426,0.274,0
427,0.07,0
428,0.08,0
429,0.116,0
430,0.052,0
431,0.078,0
432,0.084,0
433,0.052,0
434,0.05,0
435,0.048,0
436,0.06,0
437,0.046,0
438,0.054,0
439,0.06,0
440,0.046,0
441,0.062,0
442,0.07,0
443,0.064,0
444,0.054,0
445,0.072,0
446,0.13,0
447,0.102,0
448,0.1,0
449,0.092,0
450,0.064,0
451,0.06,0
452,0.086,0
453,0.116,0
454,0.068,0
455,0.072,0
456,0.024,0
457,0.062,0
458,0.056,0
459,0.046,0
460,0.056,0
461,0.052,0
462,0.034,0
463,0.056,0
464,0.046,0
465,0.022,0
466,0.054,0
467,0.038,0
468,0.032,0
469,0.034,0
470,0.054,0
471,0.044,0
472,0.034,0
473,0.036,0
474,0.084,0
475,0.122,0
476,0.078,0
477,0.054,0
478,0.062,0
479,0.064,0
480,0.058,0
481,0.06,0
482,0.058,0
483,0.034,0
484,0.268,0
485,0.052,0
486,0.042,0
487,0.092,0
488,0.06,0
489,0.07,0
490,0.054,0
491,0.048,0
492,0.048,0
493,0.038,0
494,0.184,0
495,0.08,0
496,0.056,0
497,0.086,0
498,0.056,0
499,0.048,0
500,0.06,0
501,0.036,0
502,0.036,0
503,0.052,0
504,0.05,0
505,0.056,0
506,0.076,0
507,0.046,0
508,0.044,0
509,0.056,0
510,0.042,0
511,0.028,0
512,0.036,0
513,0.044,0
514,0.026,0
515,0.034,0
516,0.042,0
517,0.036,0
518,0.04,0
519,0.024,0
520,0.054,0
521,0.04,0
522,0.054,0
523,0.082,0
524,0.058,0
525,0.054,0
526,0.06,0
527,0.05,0
528,0.05,0
529,0.054,0
530,0.068,0
531,0.052,0
532,0.046,0
533,0.046,0
534,0.032,0
535,0.044,0
536,0.054,0
537,0.036,0
538,0.062,0
539,0.044,0
540,0.058,0
541,0.048,0
542,0.08,0
543,0.058,0
544,0.06,0
545,0.074,0
546,0.066,0
547,0.06,0
548,0.076,0
549,0.09,0
550,0.092,0
551,0.28,0
552,0.088,0
553,0.07,0
554,0.146,0
555,0.06,0
556,0.032,0
557,0.04,0
558,0.036,0
559,0.018,0
560,0.074,0
561,0.046,0
562,0.04,0
563,0.206,0
564,0.08,0
565,0.062,0
566,0.172,0
567,0.054,0
568,0.042,0
569,0.052,0
570,0.048,0
571,0.052,0
572,0.038,0
573,0.036,0
574,0.048,0
575,0.04,0
576,0.044,0
577,0.04,0
578,0.06,0
579,0.042,0
580,0.03,0
581,0.04,0
582,0.038,0
583,0.02,0
584,0.044,0
585,0.046,0
586,0.05,0
587,0.026,0
588,0.054,0
589,0.028,0
590,0.064,0
591,0.06,0
592,0.062,0
593,0.074,0
594,0.066,0
595,0.078,0
596,0.096,0
597,0.148,0
598,0.12,0
599,0.36,0
600,0.41,0
601,0.168,0
602,0.508,1
603,0.274,0
604,0.114,0
605,0.206,0
606,0.08,0
607,0.126,0
608,0.064,0
609,0.054,0
610,0.06,0
611,0.052,0
612,0.066,0
613,0.094,0
614,0.044,0
615,0.07,0
616,0.056,0
617,0.054,0
618,0.054,0
619,0.062,0
620,0.098,0
621,0.1,0
622,0.062,0
623,0.086,0
624,0.086,0
625,0.084,0
626,0.078,0
627,0.076,0
628,0.068,0
629,0.064,0
630,0.054,0
631,0.038,0
632,0.062,0
633,0.064,0
634,0.058,0
635,0.08,0
636,0.064,0
637,0.056,0
638,0.056,0
639,0.056,0
640,0.05,0
641,0.07,0
642,0.074,0
643,0.07,0
644,0.05,0
645,0.06,0
646,0.078,0
647,0.068,0
648,0.052,0
649,0.07,0
650,0.068,0
651,0.1,0
652,0.07,0
653,0.076,0
654,0.064,0
655,0.072,0
656,0.078,0
657,0.062,0
658,0.07,0
659,0.086,0
660,0.086,0
661,0.072,0
662,0.094,0
663,0.082,0
664,0.058,0
665,0.082,0
666,0.068,0
667,0.066,0
668,0.072,0
669,0.064,0
670,0.052,0
671,0.074,0
672,0.056,0
673,0.082,0
674,0.062,0
675,0.07,0
676,0.072,0
677,0.06,0
678,0.088,0
679,0.066,0
680,0.052,0
681,0.108,0
682,0.326,0
683,0.092,0
684,0.084,0
685,0.168,0
686,0.062,0
687,0.076,0
688,0.074,0
689,0.046,0
690,0.056,0
691,0.084,0
692,0.084,0
693,0.096,0
694,0.084,0
695,0.088,0
696,0.084,0
697,0.102,0
698,0.056,0
699,0.092,0
700,0.068,0
701,0.078,0
702,0.074,0
703,0.11,0
704,0.122,0
705,0.082,0
706,0.12,0
707,0.114,0
708,0.134,0
709,0.084,0
710,0.114,0
711,0.092,0
712,0.116,0
713,0.154,0
714,0.08,0
715,0.092,0
716,0.072,0
717,0.088,0
718,0.074,0
719,0.09,0
720,0.102,0
721,0.086,0
722,0.072,0
723,0.092,0
724,0.086,0
725,0.1,0
726,0.084,0
727,0.092,0
728,0.138,0
729,0.154,0
730,0.1,0
731,0.192,0
732,0.392,0
733,0.2,0
734,0.166,0
735,0.194,0
736,0.148,0
737,0.142,0
738,0.088,0
739,0.068,0
740,0.084,0
741,0.102,0
742,0.134,0
743,0.112,0
744,0.102,0
745,0.124,0
746,0.092,0
747,0.098,0
748,0.08,0
749,0.084,0
750,0.082,0
751,0.068,0
752,0.13,0
753,0.16,0
754,0.116,0
755,0.106,0
756,0.09,0
757,0.118,0
758,0.088,0
759,0.088,0
760,0.106,0
761,0.084,0
762,0.066,0
763,0.086,0
764,0.292,0
765,0.128,0
766,0.08,0
767,0.156,0
768,0.096,0
769,0.094,0
770,0.094,0
771,0.138,0
772,0.158,0
773,0.1,0
774,0.096,0
775,0.092,0
776,0.096,0
777,0.084,0
778,0.114,0
779,0.124,0
780,0.1,0
781,0.102,0
782,0.106,0
783,0.112,0
784,0.112,0
785,0.132,0
786,0.108,0
787,0.116,0
788,0.144,0
789,0.142,0
790,0.14,0
791,0.118,0
792,0.13,0
793,0.154,0
794,0.15,0
795,0.122,0
796,0.138,0
797,0.134,0
798,0.142,0
799,0.118,0
800,0.118,0
801,0.138,0
802,0.122,0
803,0.128,0
804,0.128,0
805,0.138,0
806,0.142,0
807,0.148,0
808,0.134,0
809,0.132,0
810,0.14,0
811,0.13,0
812,0.138,0
813,0.13,0
814,0.164,0
815,0.152,0
816,0.112,0
817,0.13,0
818,0.154,0
819,0.128,0
820,0.134,0
821,0.156,0
822,0.366,0
823,0.168,0
824,0.182,0
825,0.214,0
826,0.14,0
827,0.138,0
828,0.118,0
829,0.166,0
830,0.138,0
831,0.154,0
832,0.124,0
833,0.124,0
834,0.184,0
835,0.17,0
836,0.156,0
837,0.124,0
838,0.162,0
839,0.212,0
840,0.152,0
841,0.158,0
842,0.158,0
843,0.154,0
844,0.128,0
845,0.174,0
846,0.158,0
847,0.16,0
848,0.104,0
849,0.134,0
850,0.174,0
851,0.15,0
852,0.154,0
853,0.14,0
854,0.14,0
855,0.148,0
856,0.152,0
857,0.154,0
858,0.168,0
859,0.144,0
860,0.14,0
861,0.148,0
862,0.128,0
863,0.128,0
864,0.186,0
865,0.178,0
866,0.15,0
867,0.136,0
868,0.128,0
869,0.14,0
870,0.182,0
871,0.144,0
872,0.166,0
873,0.13,0
874,0.16,0
875,0.138,0
876,0.124,0
877,0.176,0
878,0.166,0
879,0.138,0
880,0.138,0
881,0.18,0
882,0.16,0
883,0.148,0
884,0.194,0
885,0.134,0
886,0.2,0
887,0.192,0
888,0.152,0
889,0.142,0
890,0.154,0
891,0.14,0
892,0.142,0
893,0.088,0
894,0.122,0
895,0.136,0
896,0.118,0
897,0.134,0
898,0.112,0
899,0.14,0
900,0.304,0
901,0.168,0
902,0.154,0
903,0.262,0
904,0.178,0
905,0.148,0
906,0.152,0
907,0.134,0
908,0.13,0
909,0.15,0
910,0.134,0
911,0.138,0
912,0.348,0
913,0.152,0
914,0.122,0
915,0.216,0
916,0.162,0
917,0.318,0
918,0.172,0
919,0.142,0
920,0.216,0
921,0.15,0
922,0.15,0
923,0.146,0
924,0.142,0
925,0.154,0
926,0.178,0
927,0.14,0
928,0.132,0
929,0.136,0
930,0.12,0
931,0.384,0
932,0.166,0
933,0.15,0
934,0.232,0
935,0.126,0
936,0.342,0
937,0.154,0
938,0.17,0
939,0.192,0
940,0.164,0
941,0.124,0
942,0.122,0
943,0.11,0
944,0.146,0
945,0.15,0
946,0.13,0
947,0.17,0
948,0.146,0
949,0.148,0
950,0.12,0
951,0.12,0
952,0.152,0
953,0.14,0
954,0.166,0
955,0.168,0
956,0.42,0
957,0.186,0
958,0.164,0
959,0.226,0
960,0.15,0
961,0.124,0
962,0.188,0
963,0.136,0
964,0.09,0
965,0.098,0
966,0.058,0
967,0.056,0
968,0.084,0
969,0.08,0
970,0.064,0
971,0.072,0
972,0.114,0
973,0.074,0
974,0.06,0
975,0.086,0
976,0.088,0
977,0.084,0
978,0.084,0
979,0.108,0
980,0.074,0
981,0.08,0
982,0.076,0
983,0.088,0
984,0.096,0
985,0.076,0
986,0.072,0
987,0.074,0
988,0.076,0
989,0.124,0
990,0.092,0
991,0.112,0
992,0.094,0
993,0.138,0
994,0.128,0
995,0.1,0
996,0.114,0
997,0.088,0
998,0.068,0
999,0.108,0
1000,0.086,0
1001,0.08,0
1002,0.076,0
1003,0.112,0
1004,0.096,0
1005,0.074,0
1006,0.104,0
1007,0.08,0
1008,0.212,0
1009,0.128,0
1010,0.056,0
1011,0.154,0
1012,0.092,0
1013,0.072,0
1014,0.074,0
1015,0.08,0
1016,0.102,0
1017,0.084,0
1018,0.09,0
1019,0.1,0
1020,0.062,0
1021,0.064,0
1022,0.07,0
1023,0.082,0
1024,0.28,0
1025,0.118,0
1026,0.068,0
1027,0.134,0
1028,0.086,0
1029,0.082,0
1030,0.082,0
1031,0.064,0
1032,0.09,0
1033,0.092,0
1034,0.092,0
1035,0.08,0
1036,0.086,0
1037,0.096,0
1038,0.074,0
1039,0.088,0
1040,0.1,0
1041,0.098,0
1042,0.076,0
1043,0.098,0
1044,0.108,0
1045,0.09,0
1046,0.098,0
1047,0.072,0
1048,0.088,0
1049,0.078,0
1050,0.088,0
1051,0.07,0
1052,0.098,0
1053,0.114,0
1054,0.062,0
1055,0.094,0
1056,0.12,0
1057,0.094,0
1058,0.05,0
1059,0.096,0
1060,0.086,0
1061,0.094,0
1062,0.094,0
1063,0.092,0
1064,0.088,0
1065,0.102,0
1066,0.122,0
1067,0.116,0
1068,0.14,0
1069,0.102,0
1070,0.126,0
1071,0.116,0
1072,0.148,0
1073,0.138,0
1074,0.132,0
1075,0.168,0
1076,0.138,0
1077,0.144,0
1078,0.098,0
1079,0.13,0
1080,0.114,0
1081,0.08,0
1082,0.08,0
1083,0.08,0
1084,0.076,0
1085,0.096,0
1086,0.076,0
1087,0.108,0
1088,0.062,0
1089,0.1,0
1090,0.076,0
1091,0.09,0
1092,0.1,0
1093,0.088,0
1094,0.09,0
1095,0.094,0
1096,0.106,0
1097,0.11,0
1098,0.132,0
1099,0.138,0
1100,0.098,0
1101,0.158,0
1102,0.266,0
1103,0.138,0
1104,0.138,0
1105,0.232,0
1106,0.15,0
1107,0.126,0
1108,0.148,0
1109,0.156,0
